cluster_type,cluster_id,size,addresses,pattern,risk_score
temporal,20,9,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351,0xeda87d8816ee3c93201e87589710eddf02e6db20",,90
temporal,21,7,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x338968c09457643223cf53fd6aa5a62e9269219e,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8",,70
temporal,22,7,"0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xcd2fd81aa323a79da7790213eee48d4057778e47,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac",,70
temporal,23,12,"0x338968c09457643223cf53fd6aa5a62e9269219e,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0x99dd5760049ac433450dfb620f3d9100e2042351",,120
temporal,24,6,"0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0x69b7eee509299db6be2cde2a2ece9e4311cd9368",,60
temporal,25,6,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0xeda87d8816ee3c93201e87589710eddf02e6db20",,60
temporal,26,9,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x338968c09457643223cf53fd6aa5a62e9269219e,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0x99dd5760049ac433450dfb620f3d9100e2042351",,90
temporal,27,5,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xcd2fd81aa323a79da7790213eee48d4057778e47,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac",,50
temporal,28,7,"0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xb9a8eaded121572cd73d0772ac53b23508b27664,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0xeda87d8816ee3c93201e87589710eddf02e6db20",,70
temporal,29,5,"0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,50
