cluster_type,cluster_id,size,addresses,pattern,risk_score
temporal,124,7,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351",,70
temporal,125,7,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0xc0edfc1302801c53f3bc7ba5f596a6135fd3c629,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8",,70
temporal,126,2,"0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0xeda87d8816ee3c93201e87589710eddf02e6db20",,20
temporal,127,9,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b",,90
temporal,128,10,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x8155694421f412f57dd5436b820ffcb10df89102",,100
temporal,129,13,"0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x24b87355015378d5b897033314c506e6447c55fc",,130
temporal,130,10,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x24b87355015378d5b897033314c506e6447c55fc",,100
temporal,131,6,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,60
temporal,132,10,"0x0b29ded5e84904dc9757a9816b963727bffaefec,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0x69b7eee509299db6be2cde2a2ece9e4311cd9368",,100
temporal,133,12,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0xc0edfc1302801c53f3bc7ba5f596a6135fd3c629,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x99dd5760049ac433450dfb620f3d9100e2042351,0xeda87d8816ee3c93201e87589710eddf02e6db20",,120
temporal,134,6,"0x338968c09457643223cf53fd6aa5a62e9269219e,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca",,60
temporal,135,9,"0x338968c09457643223cf53fd6aa5a62e9269219e,0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0xc0edfc1302801c53f3bc7ba5f596a6135fd3c629,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xcd2fd81aa323a79da7790213eee48d4057778e47,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2",,90
temporal,136,11,"0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351,0xeda87d8816ee3c93201e87589710eddf02e6db20",,110
temporal,137,1,0xb5aeadf5bdd7d4b955cc4c541f3d5ac1aef34983,,10
temporal,138,2,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0xb5aeadf5bdd7d4b955cc4c541f3d5ac1aef34983",,20
temporal,139,1,0x8e13064caefa13faf2c38d6c4cb1149e84e45009,,10
temporal,140,2,"0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0xb5aeadf5bdd7d4b955cc4c541f3d5ac1aef34983",,20
temporal,141,1,0xb5aeadf5bdd7d4b955cc4c541f3d5ac1aef34983,,10
temporal,142,2,"0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b",,20
temporal,143,1,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,,10
temporal,144,2,"0x45559492d0431b6796251844ed36204bd9aa7dd2,0xb5aeadf5bdd7d4b955cc4c541f3d5ac1aef34983",,20
temporal,145,3,"0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a",,30
temporal,146,2,"0xd5ffcd736d5831252de512dfb682096971989bd1,0x193ee9eea53677fd05db368b341ae038479abaf8",,20
temporal,147,3,"0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac",,30
temporal,148,3,"0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xd5ffcd736d5831252de512dfb682096971989bd1",,30
temporal,149,2,"0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b",,20
temporal,150,3,"0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac",,30
temporal,151,2,"0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,20
temporal,152,1,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,,10
temporal,153,4,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0x193ee9eea53677fd05db368b341ae038479abaf8",,40
temporal,154,3,"0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276",,30
temporal,155,1,0x3b780b9012858d85503232bb4c4379cfd8541c61,,10
temporal,156,2,"0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,20
temporal,157,2,"0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0xb898571dd99a2f3a422baad3ca945e6e90a51a29",,20
temporal,158,2,"0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0x296e5b916349edb04607df1c73ec2edb9ec6a95d",,20
temporal,159,2,"0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0xc7e696acf931b25893dd90c7cba23a5cbaad6006",,20
temporal,160,2,"0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0xd5ffcd736d5831252de512dfb682096971989bd1",,20
temporal,161,2,"0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276",,20
temporal,162,2,"0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a",,20
temporal,163,3,"0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0xc7e696acf931b25893dd90c7cba23a5cbaad6006",,30
temporal,164,2,"0x45559492d0431b6796251844ed36204bd9aa7dd2,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7",,20
temporal,165,1,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e,,10
temporal,166,1,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,,10
temporal,167,6,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x193ee9eea53677fd05db368b341ae038479abaf8,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,60
temporal,168,9,"0x9bbee460ece50ec0f2035814e55b6a629161cae7,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x3b780b9012858d85503232bb4c4379cfd8541c61,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x45559492d0431b6796251844ed36204bd9aa7dd2,0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,90
temporal,169,7,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xd5ffcd736d5831252de512dfb682096971989bd1,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b",,70
temporal,170,17,"0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x99c47bcdbd65654135580b53df5019886d614557,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x8155694421f412f57dd5436b820ffcb10df89102",,170
temporal,171,15,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac,0x24b87355015378d5b897033314c506e6447c55fc,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,150
temporal,172,5,"0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x193ee9eea53677fd05db368b341ae038479abaf8,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49",,50
temporal,173,5,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0xd2336a629a1e8f429f15b73d52b2958808948cfa",,50
temporal,174,1,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,,10
temporal,175,2,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x8e13064caefa13faf2c38d6c4cb1149e84e45009",,20
temporal,176,2,"0x3b780b9012858d85503232bb4c4379cfd8541c61,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac",,20
temporal,177,3,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x8e13064caefa13faf2c38d6c4cb1149e84e45009,0xd2336a629a1e8f429f15b73d52b2958808948cfa",,30
temporal,178,2,"0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7",,20
temporal,179,1,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,,10
temporal,180,2,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x8e13064caefa13faf2c38d6c4cb1149e84e45009",,20
temporal,181,3,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x8e13064caefa13faf2c38d6c4cb1149e84e45009",,30
temporal,182,2,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x8e13064caefa13faf2c38d6c4cb1149e84e45009",,20
temporal,183,1,0xfcb278a2550c872bfc04e075622aaa5d7e707221,,10
temporal,184,3,"0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0xc7e696acf931b25893dd90c7cba23a5cbaad6006",,30
temporal,185,1,0x3b780b9012858d85503232bb4c4379cfd8541c61,,10
temporal,186,1,0x8e13064caefa13faf2c38d6c4cb1149e84e45009,,10
temporal,187,1,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,,10
temporal,188,1,0x45559492d0431b6796251844ed36204bd9aa7dd2,,10
temporal,189,1,0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,,10
temporal,190,2,"0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x193ee9eea53677fd05db368b341ae038479abaf8",,20
temporal,191,2,"0xd5ffcd736d5831252de512dfb682096971989bd1,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,20
temporal,192,1,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,,10
temporal,193,1,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,,10
temporal,194,9,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc",,90
temporal,195,7,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,70
temporal,196,12,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x99c47bcdbd65654135580b53df5019886d614557,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,120
temporal,197,6,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xe2464094bfb1930c0ca5a3901684f26abe83975e",,60
temporal,198,3,"0x24b87355015378d5b897033314c506e6447c55fc,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,30
temporal,199,8,"0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xb5aeadf5bdd7d4b955cc4c541f3d5ac1aef34983,0x8155694421f412f57dd5436b820ffcb10df89102",,80
temporal,200,9,"0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x8e13064caefa13faf2c38d6c4cb1149e84e45009,0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,90
temporal,201,9,"0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc",,90
temporal,202,11,"0xaceae6296ce9e4f655487522217a7f6fdc830245,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc",,110
temporal,203,9,"0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc",,90
temporal,204,3,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x8e13064caefa13faf2c38d6c4cb1149e84e45009,0xb898571dd99a2f3a422baad3ca945e6e90a51a29",,30
temporal,205,10,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,100
temporal,206,7,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xe2464094bfb1930c0ca5a3901684f26abe83975e",,70
temporal,207,4,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x8155694421f412f57dd5436b820ffcb10df89102",,40
temporal,208,9,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x0b29ded5e84904dc9757a9816b963727bffaefec,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac",,90
temporal,209,6,"0x338968c09457643223cf53fd6aa5a62e9269219e,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0xc0edfc1302801c53f3bc7ba5f596a6135fd3c629,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351",,60
temporal,210,3,"0xcd2fd81aa323a79da7790213eee48d4057778e47,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xb9a8eaded121572cd73d0772ac53b23508b27664",,30
temporal,211,4,"0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xeda87d8816ee3c93201e87589710eddf02e6db20",,40
temporal,212,2,"0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8",,20
temporal,213,11,"0x338968c09457643223cf53fd6aa5a62e9269219e,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0xc0edfc1302801c53f3bc7ba5f596a6135fd3c629,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0xeda87d8816ee3c93201e87589710eddf02e6db20",,110
temporal,214,13,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0x99dd5760049ac433450dfb620f3d9100e2042351",,130
temporal,215,13,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x99dd5760049ac433450dfb620f3d9100e2042351",,130
